,award_id,award_fixed_id,code,name,award_operative_from,award_operative_to,version_number,last_modified_datetime,published_year
0,1442,1,MA000001,Black Coal Mining Industry Award 2020,2010-01-01,,3,2023-06-02T10:39:15+00:00,2023
1,1443,2,MA000002,Clerks—Private Sector Award 2020 ,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
2,1444,3,MA000003,Fast Food Industry Award 2020,2010-01-01,,3,2023-06-02T10:39:15+00:00,2023
3,1445,4,MA000004,General Retail Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
4,1446,5,MA000005,Hair and Beauty Industry Award 2020,2010-01-01,,3,2023-06-02T10:39:15+00:00,2023
5,1447,6,MA000006,Higher Education Industry—Academic Staff—Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
6,1448,7,MA000007,Higher Education Industry—General Staff—Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
7,1449,8,MA000008,Horse and Greyhound Training Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
8,1450,9,MA000009,Hospitality Industry (General) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
9,1451,10,MA000010,Manufacturing and Associated Industries and Occupations Award 2020 ,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
10,1452,11,MA000011,Mining Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
11,1453,12,MA000012,Pharmacy Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
12,1454,13,MA000013,Racing Clubs Events Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
13,1455,14,MA000014,Racing Industry Ground Maintenance Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
14,1456,15,MA000015,Rail Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
15,1457,16,MA000016,Security Services Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
16,1458,17,MA000017,"Textile, Clothing, Footwear and Associated Industries Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
17,1459,18,MA000018,Aged Care Award 2010,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
18,1460,19,MA000019,"Banking, Finance and Insurance Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
19,1461,20,MA000020,Building and Construction General On-site Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
20,1462,21,MA000021,Business Equipment Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
21,1463,22,MA000022,Cleaning Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
22,1464,23,MA000023,Contract Call Centres Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
23,1465,24,MA000024,Cotton Ginning Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
24,1466,25,MA000025,"Electrical, Electronic and Communications Contracting Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
25,1467,26,MA000026,"Graphic Arts, Printing and Publishing Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
26,1468,27,MA000027,Health Professionals and Support Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
27,1469,28,MA000028,Horticulture Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
28,1470,29,MA000029,Joinery and Building Trades Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
29,1471,30,MA000030,Market and Social Research Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
30,1472,31,MA000031,Medical Practitioners Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
31,1473,32,MA000032,Mobile Crane Hiring Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
32,1474,33,MA000033,Nursery Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
33,1475,34,MA000034,Nurses Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
34,1476,35,MA000035,Pastoral Award 2020,2010-01-01,,1,2023-06-02T10:39:15+00:00,2023
35,1477,36,MA000036,Plumbing and Fire Sprinklers Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
36,757,37,MA000037,Quarrying Award 2010,2010-01-01,2020-02-03,6,2022-01-18T12:23:13+00:00,2019
37,1478,38,MA000038,Road Transport and Distribution Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
38,1479,39,MA000039,Road Transport (Long Distance Operations) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
39,1480,40,MA000040,Silviculture Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
40,1481,41,MA000041,Telecommunications Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
41,1482,42,MA000042,Transport (Cash in Transit) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
42,1483,43,MA000043,Waste Management Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
43,1484,44,MA000044,"Wool Storage, Sampling and Testing Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
44,1485,45,MA000045,Coal Export Terminals Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
45,1486,46,MA000046,Air Pilots Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
