wage_allowance_fixed_id,clause_fixed_id,clauses,parent_allowance,allowance,is_all_purpose,rate,rate_unit,base_pay_rate_id,allowance_amount,payment_frequency,operative_from,operative_to,version_number,last_modified_datetime,published_year,awards
13.0,715,A.8.2(a),Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,Additional shift allowance—Open cut employees—per afternoon shift,False,0.43,Percent,BR89758,4.25,per afternoon shift (additional to the shiftwork rates),2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
14.0,715,A.8.2(a),Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,Additional shift allowance—Open cut employees—per night shift,False,0.85,Percent,BR89758,8.4,per night shift (additional to the shiftwork rates),2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
11.0,715,A.8.2(a),Where an employee carries out pressure or x-ray standard welding on booms,Boom Welding allowance (does not apply to employees employed under the open cut work model),False,0.095,Percent,BR89758,0.94,per hour,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
7.0,715,A.8.2(a),"Employees working in a space, the dimensions of which necessitate working in a stooped or otherwise cramped position or without proper ventilation, or where confinement within a limited space is unusually discomforting",Confined spaces allowance (Electrical/ Mechanical),False,0.08,Percent,BR89758,0.79,per hour,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
6.0,715,A.8.2(a),"Where an employee has to handle machinery, equipment, appliances or gear of any description which is covered with oil or grease",Dirty work,False,0.23,Percent,BR89758,2.27,per shift,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
16.0,716,B.3.1(a),Where an employee is appointed as a first aid attendant,First Aid Attendant allowance,False,0.45,Percent,BR89758,4.45,per day or shift,2023-07-01,,4.0,2023-06-08T07:47:32+00:00,2023,1
10.0,715,A.8.2(a),Where an employee is appointed as a first aid attendant,First Aid Attendant allowance (does not apply to employees employed under the open cut or underground work models),False,0.45,Percent,BR89758,4.45,per day or shift,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
15.0,716,B.3.1(a),Where an employee is appointed as the first aid officer,First Aid Officer allowance,False,0.76,Percent,BR89758,7.51,"per day or shift or attendance at, or paid absence from, work",2023-07-01,,4.0,2023-06-08T07:47:32+00:00,2023,1
9.0,715,A.8.2(a),Where an employee is appointed as a first aid officer,First Aid Officer allowance (does not apply to employees employed under the open cut or underground work models),False,0.76,Percent,BR89758,7.51,per day or shift or attendance at or paid absence from work,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
8.0,715,A.8.2(a),Where an employee is engaged on work at a height of 7.5 metres or more above the nearest horizontal plane,Height money (Electrical/ Mechanical),False,0.23,Percent,BR89758,2.27,per shift,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
4.0,715,A.8.2(a),An employee is engaged on shaft work,Shaft work (Electrical / Mechanical),False,0.59,Percent,BR89758,5.83,per shift,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
5.0,715,A.8.2(a),Minimum payment of 4 hours at this rate for employees required to carry out work in connection with the release of blockages in sewerage lines and connections thereto (including pumps); A minimum payment of one hour for work on pumps after removal from a pumping station or treatment works for cleaning or stripping,Shaft work (Electrical / Mechanical)—minimum payment,False,0.3,Percent,BR89758,2.96,minimum payment per day or shift,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
5646.0,9319,I.2.3,,Stand-by allowance—duty officers on a Monday to Friday stand-by roster,False,12.07,Percent,BR89758,119.23,per day,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
5647.0,9320,I.2.4,,Stand-by allowance—duty officers on a stand-by roster that includes Saturday and/or Sunday,False,24.14,Percent,BR89758,238.45,per day,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
5645.0,9318,I.2.2,,Stand-by allowance—employees on a stand-by roster that includes Saturday and/or Sunday,False,18.71,Percent,BR89758,184.82,per day,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
17.0,717,I.2.1,,Stand-by allowance—employees on Monday to Friday stand-by roster,False,10.26,Percent,BR89758,101.35,per day,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
12.0,715,A.8.2(a),An adult employee who works underground on any shift,Underground allowance (Electrical/ Mechanical),False,0.23,Percent,BR89758,2.27,per day or shift,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
1.0,715,A.8.2(a),Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Washery allowance,False,0.63,Percent,BR89758,6.22,per day or shift,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
2.0,715,A.8.2(a),Where an employee is employed in or about a washery; This allowance is in substitution of all other disability allowances except water money,Washery allowance—minimum payment,False,0.32,Percent,BR89758,3.16,minimum payment per day or shift,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
3.0,715,A.8.2(a),"Where, through no fault of the employee, and in the course of duties, an employee's clothing becomes wet; The employee is to notify the supervisor of the intention to claim water money and the reasons for making it as soon as is possible; An employee regularly receiving water money must not have the payment discontinued without notice",Water money,False,0.49,Percent,BR89758,4.84,per shift,2023-07-01,,3.0,2023-06-01T22:37:40+00:00,2023,1
13.0,715,A.8.2(a),Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,Additional shift allowance—Open cut employees—per afternoon shift,False,0.43,Percent,BR89758,4.02,per afternoon shift (additional to the shiftwork rates),2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
14.0,715,A.8.2(a),Where an employee is engaged on afternoon shift and/or night shift at open cut workings and who is in receipt of the 15% shift allowance,Additional shift allowance—Open cut employees—per night shift,False,0.85,Percent,BR89758,7.94,per night shift (additional to the shiftwork rates),2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
11.0,715,A.8.2(a),Where an employee carries out pressure or x-ray standard welding on booms,Boom Welding allowance (does not apply to employees employed under the open cut work model),False,0.095,Percent,BR89758,0.89,per hour,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
7.0,715,A.8.2(a),"Employees working in a space, the dimensions of which necessitate working in a stooped or otherwise cramped position or without proper ventilation, or where confinement within a limited space is unusually discomforting",Confined spaces allowance (Electrical/ Mechanical),False,0.08,Percent,BR89758,0.75,per hour,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
6.0,715,A.8.2(a),"Where an employee has to handle machinery, equipment, appliances or gear of any description which is covered with oil or grease",Dirty work,False,0.23,Percent,BR89758,2.15,per shift,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
16.0,716,B.3.1(a),Where an employee is appointed as a first aid attendant,First Aid Attendant allowance,False,0.45,Percent,BR89758,4.2,per day or shift,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
10.0,715,A.8.2(a),Where an employee is appointed as a first aid attendant,First Aid Attendant allowance (does not apply to employees employed under the open cut or underground work models),False,0.45,Percent,BR89758,4.2,per day or shift,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
15.0,716,B.3.1(a),Where an employee is appointed as the first aid officer,First Aid Officer allowance,False,0.76,Percent,BR89758,7.1,"per day or shift or attendance at, or paid absence from, work",2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
9.0,715,A.8.2(a),Where an employee is appointed as a first aid officer,First Aid Officer allowance (does not apply to employees employed under the open cut or underground work models),False,0.76,Percent,BR89758,7.1,per day or shift or attendance at or paid absence from work,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
8.0,715,A.8.2(a),Where an employee is engaged on work at a height of 7.5 metres or more above the nearest horizontal plane,Height money (Electrical/ Mechanical),False,0.23,Percent,BR89758,2.15,per shift,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
4.0,715,A.8.2(a),An employee is engaged on shaft work,Shaft work (Electrical / Mechanical),False,0.59,Percent,BR89758,5.51,per shift,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
5.0,715,A.8.2(a),Minimum payment of 4 hours at this rate for employees required to carry out work in connection with the release of blockages in sewerage lines and connections thereto (including pumps); A minimum payment of one hour for work on pumps after removal from a pumping station or treatment works for cleaning or stripping,Shaft work (Electrical / Mechanical)—minimum payment,False,0.3,Percent,BR89758,2.8,minimum payment per day or shift,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
5646.0,9319,I.2.3,,Stand-by allowance—duty officers on a Monday to Friday stand-by roster,False,12.07,Percent,BR89758,112.75,per day,2022-07-01,2023-06-30,2.0,2022-06-24T01:32:00+00:00,2022,1
