expense_allowance_fixed_id,clause_fixed_id,clauses,parent_allowance,allowance,is_all_purpose,allowance_amount,payment_frequency,last_adjusted_year,cpi_quarter_last_adjusted,operative_from,operative_to,version_number,last_modified_datetime,published_year,awards
3.0,1826,B.3.2,,Meal,False,18.08,for each meal,2022.0,March Quarter,2023-07-01,,3,2023-06-02T10:12:41+00:00,2023,1
2.0,1825,A.8.3,,Meal allowance,False,18.08,for each meal,2022.0,March Quarter,2023-07-01,,3,2023-06-02T10:12:41+00:00,2023,1
1.0,1825,A.8.3,,Tool allowance,False,13.22,per week,2022.0,March Quarter,2023-07-01,,3,2023-06-02T10:12:41+00:00,2023,1
3.0,1826,B.3.2,,Meal,False,16.77,for each meal,2021.0,March Quarter,2022-07-01,2023-06-30,2,2022-06-24T15:23:49+00:00,2022,1
2.0,1825,A.8.3,,Meal allowance,False,16.77,for each meal,2021.0,March Quarter,2022-07-01,2023-06-30,2,2022-06-24T15:23:49+00:00,2022,1
1.0,1825,A.8.3,,Tool allowance,False,12.66,per week,2021.0,March Quarter,2022-07-01,2023-06-30,2,2022-06-24T15:23:49+00:00,2022,1
3.0,1826,B.3.2,,Meal,False,16.39,for each meal,2020.0,September Quarter,2021-07-01,2022-06-30,1,2022-02-15T15:41:38+00:00,2021,1
2.0,1825,A.8.3,,Meal allowance,False,16.39,for each meal,2020.0,September Quarter,2021-07-01,2022-06-30,1,2022-02-15T15:41:38+00:00,2021,1
1.0,1825,A.8.3,,Tool allowance,False,12.13,per week,2020.0,September Quarter,2021-07-01,2022-06-30,1,2022-02-15T15:41:38+00:00,2021,1
3.0,1826,B.3.2,,Meal,False,16.15,for each meal,2019.0,,2020-11-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2020,1
2.0,1825,A.8.3,,Meal allowance,False,16.15,for each meal,2019.0,,2020-11-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2020,1
1.0,1825,A.8.3,,Tool allowance,False,12.09,per week,2017.0,,2020-11-01,2021-06-30,0,2022-02-15T15:39:30+00:00,2020,1
3.0,1826,B.3.2,,Meal,False,15.81,for each meal,2018.0,,2019-07-01,2020-10-31,0,2022-02-15T15:39:30+00:00,2019,1
2.0,1825,A.8.3,,Meal allowance,False,15.81,for each meal,2018.0,,2019-07-01,2020-10-31,0,2022-02-15T15:39:30+00:00,2019,1
1.0,1825,A.8.3,,Tool allowance,False,11.55,per week,2017.0,,2017-07-01,2020-10-31,0,2022-02-15T15:39:30+00:00,2019,1
3.0,1826,B.3.2,,Meal,False,15.32,for each meal,2017.0,,2018-07-01,2019-06-30,0,2022-02-15T15:39:30+00:00,2018,1
2.0,1825,A.8.3,,Meal allowance,False,15.32,for each meal,2017.0,,2018-07-01,2019-06-30,0,2022-02-15T15:39:30+00:00,2018,1
1.0,1825,A.8.3,,Tool allowance,False,11.55,per week,2017.0,,2017-07-01,2020-10-31,0,2022-02-15T15:39:30+00:00,2018,1
3.0,1826,B.3.2,,Meal,False,15.01,for each meal,2016.0,,2017-07-01,2018-06-30,0,2022-02-15T15:39:30+00:00,2017,1
2.0,1825,A.8.3,,Meal allowance,False,15.01,for each meal,2016.0,,2017-07-01,2018-06-30,0,2022-02-15T15:39:30+00:00,2017,1
1.0,1825,A.8.3,,Tool allowance,False,11.55,per week,2016.0,,2017-07-01,2020-10-31,0,2022-02-15T15:39:30+00:00,2017,1
3.0,1826,B.3.2,,Meal,False,14.85,for each meal,2015.0,,2016-07-01,2017-06-30,0,2022-02-15T15:39:30+00:00,2016,1
2.0,1825,A.8.3,,Meal allowance,False,14.85,for each meal,2015.0,,2016-07-01,2017-06-30,0,2022-02-15T15:39:30+00:00,2016,1
1.0,1825,A.8.3,,Tool allowance,False,11.3,per week,2010.0,,2016-07-01,2017-06-30,0,2022-02-15T15:39:30+00:00,2016,1
3.0,1826,B.3.2,,Meal,False,14.53,for each meal,2014.0,,2015-07-01,2016-06-30,0,2022-02-15T15:39:30+00:00,2015,1
2.0,1825,A.8.3,,Meal allowance,False,14.53,for each meal,2014.0,,2015-07-01,2016-06-30,0,2022-02-15T15:39:30+00:00,2015,1
1.0,1825,A.8.3,,Tool allowance,False,11.1,per week,2010.0,,2010-07-01,2016-06-30,0,2022-02-15T15:39:30+00:00,2015,1
4.0,1827,19.4(d)(i),,Laundry allowance—Full-time employee,False,3.55,per week,2008.0,,2010-01-01,,2,2023-06-02T10:12:41+00:00,2023,2
5.0,1828,19.4(d)(ii),,Laundry allowance—Part-time or casual employee,False,0.71,per shift,2008.0,,2010-01-01,,2,2023-06-02T10:12:41+00:00,2023,2
7.0,1829,19.5(b)(i),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—First meal,False,18.23,per occasion,2022.0,March Quarter,2023-07-01,,5,2023-06-02T10:12:41+00:00,2023,2
9512.0,22983,19.5(c),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—Further 4 hours’ overtime,False,14.6,per occasion,2022.0,March Quarter,2023-07-01,,5,2023-06-02T10:12:41+00:00,2023,2
8.0,1830,19.6(a)(i),,Vehicle allowance—Motor car,False,0.95,per km,2022.0,March Quarter,2023-07-01,,4,2023-06-02T10:12:41+00:00,2023,2
9.0,1831,19.6(a)(ii),,Vehicle allowance—Motorcycle,False,0.32,per km,2022.0,March Quarter,2023-07-01,,4,2023-06-02T10:12:41+00:00,2023,2
4.0,1827,19.4(d)(i),,Laundry allowance—Full-time employee,False,3.55,per week,2008.0,,2010-01-01,,2,2022-06-24T15:24:21+00:00,2022,2
5.0,1828,19.4(d)(ii),,Laundry allowance—Part-time or casual employee,False,0.71,per shift,2008.0,,2010-01-01,,2,2022-06-24T15:24:21+00:00,2022,2
7.0,1829,19.5(b)(i),,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—First meal,False,16.91,per occasion,2021.0,March Quarter,2022-07-01,2023-06-30,4,2022-06-24T15:23:49+00:00,2022,2
