,classification_fixed_id,base_pay_rate_id,base_rate_type,base_rate,calculated_pay_rate_id,calculated_rate_type,calculated_rate,parent_classification_name,classification,classification_level,employee_rate_type_code_x,operative_from,operative_to,version_number,published_year,last_modified_datetime,awards,employee_rate_type_code_y
0,90791,BR102464,Weekly,790.24,,,,Adult apprentices,1st year of apprenticeship - 80,1.0,AA,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AA
1,90805,BR102476,Weekly,790.24,,,,,stage 1 - 80% of mineworker - induction level 2,1.0,AA,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AA
2,90234,BR101980,Weekly,1038.9,,,,,group a,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
3,90250,BR101996,Weekly,991.76,,,,,commercial graduate – level 1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
4,90819,BR102490,Weekly,991.76,,,,,commercial graduate – level 1 - 80,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
5,90816,BR102487,Weekly,1005.2,,,,,graduate engineer – level 1 - 80,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,AD
6,90513,BR102252,Weekly,1038.9,CR29940,Hourly,29.68,Group A,group a*,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
7,1,BR89757,Weekly,969.2,CR25626,Hourly,27.69,,mineworker – induction level 1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
8,11,BR102235,Weekly,1038.9,CR30027,Hourly,29.68,Group A,clerks,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
9,90800,BR102471,Weekly,493.9,,,,Has completed year 12,stage 1 - from 1 january 2014: 50%,1.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AP
10,90787,BR102460,Weekly,444.51,,,,Apprentices other than adult apprentices,1st year of experience - 45,1.0,AP,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,AP
11,90801,BR102472,Weekly,543.29,,,,Has completed year 12,stage 1 - from first pay period commencing on or after 1 january 2015: 55%,1.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AP
12,90808,BR102479,Weekly,395.12,,,,,15-16 years - 40,1.0,JN,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,JN
13,90811,BR102482,Weekly,675.29,,,,,up to 17 years - 65,1.0,JN,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,JN
14,90792,BR102465,Weekly,889.02,,,,Adult apprentices,2nd year of apprenticeship - 90,2.0,AA,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AA
15,90806,BR102477,Weekly,969.2,,,,,stage 2 - mineworker – induction level 1,2.0,AA,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AA
16,90807,BR102478,Weekly,969.2,,,,,stage 3 - mineworker – induction level 1,2.0,AA,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AA
17,17,BR89764,Weekly,1068.5,CR25633,Hourly,30.53,Group B,group b*,2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
18,22,BR102245,Weekly,1068.5,CR30036,Hourly,30.53,Group B,laboratory assistant,2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
19,23,BR102246,Weekly,1068.5,CR30037,Hourly,30.53,Group B,technical assistant,2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
20,90235,BR101981,Weekly,1068.5,,,,,group b,2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
21,90817,BR102488,Weekly,1080.59,,,,,graduate engineer – level 2 - 86,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,AD
22,90820,BR102491,Weekly,1066.14,,,,,commercial graduate – level 2 - 86,2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
23,20,BR102243,Weekly,1068.5,CR30034,Hourly,30.53,Group B,surveyor’s assistant,2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
24,25,BR102248,Weekly,1068.5,CR30039,Hourly,30.53,Group B,trainee,2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
25,10501,BR98545,Daily,88.04,,,,Daily rig allowance (per full day worked),trainee,1.0,AD,2022-07-01,,5.0,2022,2022-12-09T15:22:28+00:00,64,AD
26,26,BR102249,Weekly,1068.5,CR30040,Hourly,30.53,Group B,coal and/or dust sampler,2.0,AD,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,1,AD
27,28,BR102251,Weekly,1068.5,CR30042,Hourly,30.53,Group B,traffic controller,2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
28,27,BR102250,Weekly,1068.5,CR30041,Hourly,30.53,Group B,screen and surface overseer,2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
29,90247,BR101993,Weekly,1005.2,,,,,graduate engineer – level 1,2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
30,3,BR89759,Weekly,987.8,CR25628,Hourly,28.22,,mineworker – training,2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
31,2,BR89758,Weekly,987.8,CR25627,Hourly,28.22,,mineworker – induction level 2,2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
32,19,BR102242,Weekly,1068.5,CR30033,Hourly,30.53,Group B,tracer,2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
33,24,BR102247,Weekly,1068.5,CR30038,Hourly,30.53,Group B,stores clerk,2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
34,21,BR102244,Weekly,1068.5,CR30035,Hourly,30.53,Group B,clerk,2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
35,90788,BR102461,Weekly,592.68,,,,Apprentices other than adult apprentices,2nd year of experience - 60,2.0,AP,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,AP
36,90812,BR102483,Weekly,727.23,,,,,17 to 18 years - 70,2.0,JN,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,JN
37,90809,BR102480,Weekly,543.29,,,,,16-17 years - 55,2.0,JN,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,JN
38,90793,BR102466,Weekly,938.41,,,,Adult apprentices,3rd year of apprenticeship - 95,3.0,AA,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AA
39,4,BR89760,Weekly,1056.0,CR25629,Hourly,30.17,,mineworker,3.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,AD
40,32,BR102685,Weekly,1095.9,CR30045,Hourly,31.31,Group C,senior stores clerk,3.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
41,90236,BR101982,Weekly,1095.9,,,,,group c,3.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
42,90818,BR102489,Weekly,1181.11,,,,,graduate engineer – level 3 - 94,3.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,AD
43,33,BR102686,Weekly,1095.9,CR30046,Hourly,31.31,Group C,laboratory technician,3.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
44,90821,BR102492,Weekly,1165.32,,,,,commercial graduate – level 3 - 94,3.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
45,31,BR102684,Weekly,1095.9,CR30044,Hourly,31.31,Group C,senior clerk,3.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
46,30,BR102683,Weekly,1095.9,CR30043,Hourly,31.31,Group C,computer operator,3.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
47,29,BR89765,Weekly,1095.9,CR25634,Hourly,31.31,Group C,group c*,3.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
48,35,BR102688,Weekly,1095.9,CR30048,Hourly,31.31,Group C,assistant safety officer,3.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
49,34,BR102687,Weekly,1095.9,CR30047,Hourly,31.31,Group C,assistant surveyor,3.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
50,90789,BR102462,Weekly,740.85,,,,Apprentices other than adult apprentices,3rd year of experience - 75,3.0,AP,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,AP
51,90810,BR102481,Weekly,740.85,,,,,17-18 years - 75,3.0,JN,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,JN
52,90813,BR102484,Weekly,831.12,,,,,18 to 19 years - 80,3.0,JN,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,JN
53,90251,BR101997,Weekly,1066.14,,,,,commercial graduate – level 2,4.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
54,39,BR102691,Weekly,1112.7,CR30051,Hourly,31.79,Group D,shotfirer,4.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
55,5,BR89761,Weekly,1106.9,CR25630,Hourly,31.63,,mineworker – advanced,4.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
56,90237,BR101983,Weekly,1112.7,,,,,group d,4.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
57,37,BR102689,Weekly,1112.7,CR30049,Hourly,31.79,Group D,surveyor,4.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
58,38,BR102690,Weekly,1112.7,CR30050,Hourly,31.79,Group D,draftsperson,4.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
59,36,BR89766,Weekly,1112.7,CR25635,Hourly,31.79,Group D,group d*,4.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
60,90799,BR102470,Weekly,889.02,,,,Has not completed year 12,stage 4 - 90%,4.0,AP,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,AP
61,90804,BR102475,Weekly,889.02,,,,Has completed year 12,stage 4 - 90%,5.0,AP,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,AP
62,90790,BR102463,Weekly,889.02,,,,Apprentices other than adult apprentices,4th year of experience - 90,4.0,AP,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,AP
63,90814,BR102485,Weekly,935.01,,,,,19 to 20 years - 90,4.0,JN,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,1,JN
64,42,BR102693,Weekly,1135.1,CR30053,Hourly,32.43,Group E,assistant training officer,5.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
65,6,BR89762,Weekly,1220.7,CR25631,Hourly,34.88,,mineworker – specialised,5.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
66,41,BR102692,Weekly,1135.1,CR30052,Hourly,32.43,Group E,leading draftsperson,5.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,1,AD
67,90238,BR101984,Weekly,1135.1,,,,,group e,5.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,1,AD
